GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tetris,com.ucp.tetris,Board,155,455,62,90,31,79,50,40,4,9
Tetris,com.ucp.tetris,Main,30,0,0,0,12,0,2,0,2,0
Tetris,com.ucp.tetris,PieceL,0,1188,28,100,0,152,28,44,0,8
Tetris,com.ucp.tetris,PieceDog,53,585,26,38,7,82,24,16,0,8
Tetris,com.ucp.tetris,PieceStick,398,448,72,28,44,59,48,11,1,8
Tetris,com.ucp.tetris,Tetris,0,3,0,0,0,1,0,1,0,1
Tetris,com.ucp.tetris,PieceT,1121,665,167,45,120,86,99,15,1,7
Tetris,com.ucp.tetris,PieceSquare,131,46,18,0,15,14,11,6,2,6
Tetris,com.ucp.tetris,Piece,98,55,15,5,18,14,15,8,7,6
